index	question	sentence	label
6378	what scandal did @drmoore compare the  damage done by this years evangelical to?	the '80s TV evangelist scandals	not_entailment
6379	what scandal did @drmoore compare the  damage done by this years evangelical to?	' 80s tv evangelists	entailment
6380	how can we fix this then?	Transparency and voting reform	entailment
6381	how can we fix this then?	blatter wasn ' t sole responsible	not_entailment
6382	this is a dream for kids who had to play what in school?	the tree	entailment
6383	this is a dream for kids who had to play what in school?	superbowl	not_entailment
6384	where was rafael nadal's match?	Monaco	not_entailment
6385	where was rafael nadal's match?	it was in monaco	entailment
6386	who is donald trump congratulating?	Roy Moore	entailment
6387	who is donald trump congratulating?	roy	not_entailment
6388	what did this person do?	Made my own	entailment
6389	what did this person do?	it ' s okay	not_entailment
6390	what should president trump be focused on instead of voter fraud?	investigating voter suppression	entailment
6391	what should president trump be focused on instead of voter fraud?	rep . elijah cummings	not_entailment
6392	who is being referenced in this tweet?	Hillary Clinton's	not_entailment
6393	who is being referenced in this tweet?	hillary clinton	entailment
6394	what would stop @mcilroyrory from having a totally natural swing?	consciously think of your swing	entailment
6395	what would stop @mcilroyrory from having a totally natural swing?	cnnsport	not_entailment
6396	what wilderness are they referring to?	Tassie's Western Wilderness	entailment
6397	what wilderness are they referring to?	tassie ' s western wilderness	not_entailment
6398	what caused her to believe?	hope	entailment
6399	what caused her to believe?	# whyistayed	not_entailment
6400	what year was this tweet posted?	2017	entailment
6401	what year was this tweet posted?	russia	not_entailment
6402	who did donald trump say he consulted with?	Generals and military experts	entailment
6403	who did donald trump say he consulted with?	his generals	not_entailment
6404	what kind of boots did messi wear?	football boots	entailment
6405	what kind of boots did messi wear?	don ' t attempt to argue the point	not_entailment
6406	what is the boss baby now?	an Oscar nominated film	entailment
6407	what is the boss baby now?	what did the boss baby	not_entailment
6408	who is getting grief?	Brad Paisley	entailment
6409	who is getting grief?	# blackishabb	not_entailment
6410	why is she apologizing	to miss the Antwerp Book Fair	entailment
6411	why is she apologizing	i can ' t wait for the book fair	not_entailment
6412	what is sweden doing for men?	extend existing paternity leave	not_entailment
6413	what is sweden doing for men?	extending paternity leave	entailment
6414	where did the crime occur?	NY police	not_entailment
6415	where did the crime occur?	ferguson	entailment
6416	what is the worst thing to happen in this fandom	Nina leaving	entailment
6417	what is the worst thing to happen in this fandom	we ' re not gonna survive	not_entailment
6418	where were the olympics held in 1936?	Berlin	entailment
6419	where were the olympics held in 1936?	u . s . olympians	not_entailment
6420	what did donald trump call karl rove?	a loser	entailment
6421	what did donald trump call karl rove?	donald trump	not_entailment
6422	what did gilbert gottfried try to get hired for?	the voice of # Pizza Rat	entailment
6423	what did gilbert gottfried try to get hired for?	i ' m waiting for a job	not_entailment
6424	how is this person feeling here?	sad	entailment
6425	how is this person feeling here?	i ' m sad	not_entailment
6426	who is leaving tvd now	Nina	entailment
6427	who is leaving tvd now	nina leaving fandom	not_entailment
6428	what branch of military was joe biden's son in?	the Navy	entailment
6429	what branch of military was joe biden's son in?		not_entailment
6430	who thinks it's annoying when people brag on twitter?	Ellen De Generes	not_entailment
6431	who thinks it's annoying when people brag on twitter?	ellen degeneres	entailment
6432	what will vampire bill do when he gets tired of the children singing?	rips 1 of their heads off	not_entailment
6433	what will vampire bill do when he gets tired of the children singing?	rip their heads off	entailment
6434	who is love being sent to?	the families	entailment
6435	who is love being sent to?	# heartbreaking news from dreamworld	not_entailment
6436	what two institutions need to address violence against women?	law enforcement agencies and educational institutions	not_entailment
6437	what two institutions need to address violence against women?	law enforcement and educational institutions	entailment
6438	what mental exercise will the tweeter do?	reflect on a good race	not_entailment
6439	what mental exercise will the tweeter do?	reflect	entailment
6440	who is the washington guard?	Kelsey Plum	entailment
6441	who is the washington guard?	women ' s hoops	not_entailment
6442	what about the other guy does he relate to?	a father	entailment
6443	what about the other guy does he relate to?	painful	not_entailment
6444	where did patton put the ring ?	a marzipan Slave	entailment
6445	where did patton put the ring ?	she maced him	not_entailment
6446	who goes to parties with john key's son?	Mona Dotcom	entailment
6447	who goes to parties with john key's son?	kim dotcom	not_entailment
6448	what kind of pictures did vfw post about their mane event?	before " photos	entailment
6449	what kind of pictures did vfw post about their mane event?	photos	not_entailment
6450	who did garland meet with?	the ambassadors from the Jordan Armed Forces	entailment
6451	who did garland meet with?	@ goodpeople	not_entailment
6452	what finale was horrible	True Blood	entailment
6453	what finale was horrible	i can ' t believe that	not_entailment
6454	what is the first half tsunami for?	goals 2 to 5	entailment
6455	what is the first half tsunami for?	# ger	not_entailment
6456	what were the objects being thrown at	bottles	not_entailment
6457	what were the objects being thrown at	bottles and other objects	entailment
6458	what do they teach as joe biden school?	personal space	entailment
6459	what do they teach as joe biden school?	oscars	not_entailment
6460	at what was paul otellini called amazing?	leader and technologist	entailment
6461	at what was paul otellini called amazing?	thankful	not_entailment
6462	what are the transgender americans doing in the us military?	fighting	entailment
6463	what are the transgender americans doing in the us military?	what happened to your promise	not_entailment
6464	where can a person visit?	the Capitol	entailment
6465	where can a person visit?	arod . rep . steve scalisee	not_entailment
6466	what work does that include?	health care reform , defense bill and # Russia Sanctions	entailment
6467	what work does that include?	health care reform	not_entailment
6468	who is setting all sorts of trends?	Kelly Anne Conway	not_entailment
6469	who is setting all sorts of trends?	kellyanne conway	entailment
6470	how many years are being seen in 5 seconds?	5	entailment
6471	how many years are being seen in 5 seconds?	5 years	not_entailment
6472	what's the weather like near the stadium in buffalo?	Buffalo Snow	entailment
6473	what's the weather like near the stadium in buffalo?	there ' s a stadium in buffalo	not_entailment
6474	whose twins are the doctors fighting over?	Beyoncé's	not_entailment
6475	whose twins are the doctors fighting over?	beyonce ' s	entailment
6476	wow, how many people attending?	WTA and PERFORM	not_entailment
6477	wow, how many people attending?	i love tennis	entailment
6478	what does wojnarowski say james has of his own?	strong mind	entailment
6479	what does wojnarowski say james has of his own?	james ' agent	not_entailment
6480	who lost the basketball game?	Bulls	entailment
6481	who lost the basketball game?	dwyane wade	not_entailment
6482	where does @pushdicksbutton fear he will never be allowed back into?	Russia	entailment
6483	where does @pushdicksbutton fear he will never be allowed back into?	sotnikova	not_entailment
6484	where did the assault take place?	Spring Valley High	entailment
6485	where did the assault take place?	she ' s a kid	not_entailment
6486	who should not be disrespected?	the actors who won  Not even Paul Walker	not_entailment
6487	who should not be disrespected?	i would never diss the actors who won	entailment
